"trial_name","trial_number","key_pressed","correctness","RT","b","n","question","picture","picture_number","degree","key1","key2","expected","correct","QUD","response_checked","startDate","startTime","age","gender","education","languages","comments","endTime","timeSpent","experiment_id",
"key_press_2A","1","b","correct","4879","same","different","Are the objects same or different?","images/12_50_same.jpg","46","50","b","n","same","same","","false","Thu May 16 2019 11:27:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998821671","","","","","","1557999104216","4.709083333333333","INSERT_A_NUMBER",
"key_press_2A","2","n","incorrect","5717","same","different","Are the objects same or different?","images/5_150_same.jpg","20","150","b","n","same","same","","false","Thu May 16 2019 11:27:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998821671","","","","","","1557999104216","4.709083333333333","INSERT_A_NUMBER",
"key_press_2A","3","n","correct","6590","same","different","Are the objects same or different?","images/14_150_different.jpg","55","150","b","n","different","different","","false","Thu May 16 2019 11:27:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998821671","","","","","","1557999104216","4.709083333333333","INSERT_A_NUMBER",
"key_press_2A","4","n","correct","4415","same","different","Are the objects same or different?","images/12_50_different.jpg","45","50","b","n","different","different","","false","Thu May 16 2019 11:27:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998821671","","","","","","1557999104216","4.709083333333333","INSERT_A_NUMBER",
"key_press_2A","5","n","correct","3424","same","different","Are the objects same or different?","images/9_50_different.jpg","33","50","b","n","different","different","","false","Thu May 16 2019 11:27:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998821671","","","","","","1557999104216","4.709083333333333","INSERT_A_NUMBER",
"key_press_2A","6","b","correct","3608","same","different","Are the objects same or different?","images/2_150_same.jpg","8","150","b","n","same","same","","false","Thu May 16 2019 11:27:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998821671","","","","","","1557999104216","4.709083333333333","INSERT_A_NUMBER",
"key_press_2A","7","b","correct","2943","same","different","Are the objects same or different?","images/2_50_same.jpg","6","50","b","n","same","same","","false","Thu May 16 2019 11:27:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998821671","","","","","","1557999104216","4.709083333333333","INSERT_A_NUMBER",
"key_press_2A","8","n","correct","2951","same","different","Are the objects same or different?","images/8_50_different.jpg","29","50","b","n","different","different","","false","Thu May 16 2019 11:27:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998821671","","","","","","1557999104216","4.709083333333333","INSERT_A_NUMBER",
"key_press_2A","9","n","correct","2960","same","different","Are the objects same or different?","images/2_50_different.jpg","5","50","b","n","different","different","","false","Thu May 16 2019 11:27:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998821671","","","","","","1557999104216","4.709083333333333","INSERT_A_NUMBER",
"key_press_2A","10","n","incorrect","6385","same","different","Are the objects same or different?","images/15_150_same.jpg","60","150","b","n","same","same","","false","Thu May 16 2019 11:27:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998821671","","","","","","1557999104216","4.709083333333333","INSERT_A_NUMBER",
"key_press_2A","11","n","correct","4023","same","different","Are the objects same or different?","images/3_50_different.jpg","9","50","b","n","different","different","","false","Thu May 16 2019 11:27:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998821671","","","","","","1557999104216","4.709083333333333","INSERT_A_NUMBER",
"key_press_2A","12","b","correct","4151","same","different","Are the objects same or different?","images/12_150_same.jpg","48","150","b","n","same","same","","false","Thu May 16 2019 11:27:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998821671","","","","","","1557999104216","4.709083333333333","INSERT_A_NUMBER",
"key_press_2A","1","b","correct","4273","same","different","Are the objects same or different?","images/12_50_same.jpg","46","50","b","n","same","same","","true","Thu May 16 2019 11:27:01 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998821671","","","","","","1557999104216","4.709083333333333","INSERT_A_NUMBER",
